iter	Passed	Remaining
455	904	1079
456	906	1076
457	907	1074
458	909	1072
459	913	1071
460	914	1069
461	916	1066
462	917	1064
463	919	1061
464	921	1059
465	922	1057
466	924	1054
467	925	1052
468	927	1049
469	929	1047
470	930	1045
471	932	1043
472	934	1041
473	936	1039
474	938	1037
475	939	1034
476	941	1032
477	942	1029
478	944	1027
479	946	1025
480	948	1022
481	949	1020
482	951	1018
483	952	1015
484	954	1013
485	963	1018
486	968	1019
487	972	1020
488	978	1022
489	999	1040
490	1007	1044
491	1015	1048
492	1021	1050
493	1027	1052
494	1039	1060
495	1046	1063
496	1054	1066
497	1071	1080
498	1079	1083
499	1100	1100
500	1107	1102
501	1118	1109
502	1145	1131
503	1154	1136
504	1175	1152
505	1190	1162
506	1203	1170
507	1214	1175
508	1222	1178
509	1237	1188
510	1247	1193
511	1261	1201
512	1268	1204
513	1283	1213
514	1302	1227
515	1310	1229
516	1317	1230
517	1334	1241
518	1344	1245
519	1354	1250
520	1362	1252
521	1383	1267
522	1423	1298
523	1430	1299
524	1437	1300
525	1448	1305
526	1456	1307
527	1475	1319
528	1497	1333
529	1503	1333
530	1519	1342
531	1527	1343
532	1533	1343
533	1543	1346
534	1559	1355
535	1570	1359
536	1577	1360
537	1591	1366
538	1608	1376
539	1616	1377
540	1624	1377
541	1634	1381
542	1643	1383
543	1651	1383
544	1663	1388
545	1670	1389
546	1677	1389
547	1692	1396
548	1703	1399
549	1711	1400
550	1721	1403
551	1733	1406
552	1740	1406
553	1749	1408
554	1781	1428
555	1789	1428
556	1797	1429
557	1806	1431
558	1812	1430
559	1833	1440
560	1842	1441
561	1849	1441
562	1858	1442
563	1890	1461
564	1897	1460
565	1903	1459
566	1911	1459
567	1922	1462
568	1929	1461
569	1938	1462
570	1954	1468
571	1974	1477
572	1983	1478
573	1996	1481
574	2003	1480
575	2017	1484
576	2031	1489
577	2040	1490
578	2049	1490
579	2063	1494
580	2070	1493
581	2079	1493
582	2088	1494
583	2096	1493
584	2101	1490
585	2108	1489
586	2113	1487
587	2118	1484
588	2124	1482
589	2131	1481
590	2136	1478
591	2142	1476
592	2147	1474
593	2159	1476
594	2166	1474
595	2174	1473
596	2180	1472
597	2187	1470
598	2195	1469
599	2202	1468
600	2211	1468
601	2221	1468
602	2228	1467
603	2233	1464
604	2244	1465
605	2250	1462
606	2257	1461
607	2267	1462
608	2276	1461
609	2283	1460
610	2291	1458
611	2298	1457
612	2313	1460
613	2322	1460
614	2330	1458
615	2341	1459
616	2348	1457
617	2372	1466
618	2381	1465
619	2388	1463
620	2394	1461
621	2404	1461
622	2412	1459
623	2419	1457
624	2430	1458
625	2436	1455
626	2443	1453
627	2452	1452
628	2459	1450
629	2467	1449
630	2478	1449
631	2484	1446
632	2492	1445
633	2503	1445
634	2510	1443
635	2521	1443
636	2529	1441
637	2549	1446
638	2559	1445
639	2570	1445
640	2580	1445
641	2585	1441
642	2594	1440
643	2600	1437
644	2605	1434
645	2611	1431
646	2617	1427
647	2624	1425
648	2631	1423
649	2642	1422
650	2647	1419
651	2652	1415
652	2671	1419
653	2679	1417
654	2686	1415
655	2693	1412
656	2699	1409
657	2706	1406
658	2712	1403
659	2717	1400
660	2722	1396
661	2730	1394
662	2735	1390
663	2740	1386
664	2746	1383
665	2753	1380
666	2759	1377
667	2763	1373
668	2769	1370
669	2778	1368
670	2784	1365
671	2788	1361
672	2793	1357
673	2800	1354
674	2805	1350
675	2809	1346
676	2813	1342
677	2820	1339
678	2825	1335
679	2831	1332
680	2835	1328
681	2851	1329
682	2857	1326
683	2874	1327
684	2879	1324
685	2884	1320
686	2892	1318
687	2898	1314
688	2904	1311
689	2915	1309
690	2921	1306
691	2926	1302
692	2931	1298
693	2939	1295
694	2944	1292
695	2949	1288
696	2953	1284
697	2962	1281
698	2967	1277
699	2972	1273
700	2976	1269
701	2985	1267
702	2990	1263
703	2995	1259
704	2999	1255
705	3006	1252
706	3011	1248
707	3016	1244
708	3021	1240
709	3028	1237
710	3034	1233
711	3038	1228
712	3042	1224
713	3050	1221
714	3056	1218
715	3061	1214
716	3066	1210
717	3076	1208
718	3081	1204
719	3086	1200
720	3091	1196
721	3097	1192
722	3103	1189
723	3108	1184
724	3113	1180
725	3121	1177
726	3127	1174
727	3133	1170
728	3151	1171
729	3158	1168
730	3167	1165
731	3174	1162
732	3178	1157
733	3183	1153
734	3191	1150
735	3197	1146
736	3202	1142
737	3206	1138
738	3213	1134
739	3219	1131
740	3224	1126
741	3228	1122
742	3236	1119
743	3241	1115
744	3246	1111
745	3251	1106
746	3257	1103
747	3264	1099
748	3275	1097
749	3283	1094
750	3289	1090
751	3294	1086
752	3299	1082
753	3308	1079
754	3314	1075
755	3319	1071
756	3326	1067
757	3332	1063
758	3338	1059
759	3343	1055
760	3353	1053
761	3358	1048
762	3364	1044
763	3375	1042
764	3382	1039
765	3387	1034
766	3394	1031
767	3400	1027
768	3405	1023
769	3410	1018
770	3416	1014
771	3423	1011
772	3429	1006
773	3433	1002
774	3441	999
775	3446	994
776	3452	990
777	3457	986
778	3465	983
779	3470	978
780	3476	974
781	3484	971
782	3490	967
783	3496	963
784	3501	959
785	3508	955
786	3515	951
787	3520	947
788	3524	942
789	3532	938
790	3538	934
791	3543	930
792	3551	927
793	3557	923
794	3562	918
795	3567	914
796	3575	910
797	3580	906
798	3585	902
799	3591	897
800	3600	894
801	3606	890
802	3610	885
803	3615	881
804	3624	878
805	3632	874
806	3638	870
807	3646	866
808	3651	862
809	3656	857
810	3661	853
811	3669	849
812	3679	846
813	3684	842
814	3692	838
815	3697	833
816	3701	829
817	3706	824
818	3710	820
819	3715	815
820	3717	810
821	3718	805
822	3719	800
823	3721	794
824	3722	789
825	3723	784
826	3725	779
827	3726	774
828	3728	769
829	3729	763
830	3730	758
831	3732	753
832	3734	748
833	3735	743
834	3737	738
835	3738	733
836	3739	728
837	3740	723
838	3742	718
839	3743	713
840	3745	708
841	3746	703
842	3747	698
843	3749	692
844	3750	687
845	3751	682
846	3753	677
847	3754	672
848	3756	668
849	3758	663
850	3759	658
851	3760	653
852	3761	648
853	3763	643
854	3764	638
855	3766	633
856	3767	628
857	3768	623
858	3769	618
859	3771	613
860	3772	609
861	3773	604
862	3775	599
863	3776	594
864	3778	589
865	3779	584
866	3781	580
867	3782	575
868	3783	570
869	3785	565
870	3786	560
871	3787	556
872	3789	551
873	3790	546
874	3792	541
875	3793	536
876	3794	532
877	3795	527
878	3797	522
879	3798	518
880	3800	513
881	3802	508
882	3804	504
883	3806	499
884	3807	494
885	3808	490
886	3810	485
887	3811	480
888	3812	476
889	3813	471
890	3815	466
891	3816	462
892	3817	457
893	3819	452
894	3820	448
895	3821	443
896	3823	439
897	3825	434
898	3826	429
899	3828	425
900	3829	420
901	3830	416
902	3832	411
903	3833	407
904	3834	402
905	3835	397
906	3837	393
907	3838	388
908	3840	384
909	3841	379
910	3842	375
911	3843	370
912	3845	366
913	3846	361
914	3848	357
915	3849	353
916	3850	348
917	3852	344
918	3853	339
919	3854	335
920	3856	330
921	3857	326
922	3858	321
923	3860	317
924	3861	313
925	3862	308
926	3864	304
927	3865	299
928	3866	295
929	3868	291
930	3870	286
931	3871	282
932	3873	278
933	3874	273
934	3875	269
935	3876	265
936	3878	260
937	3879	256
938	3880	252
939	3882	247
940	3883	243
941	3884	239
942	3885	234
943	3887	230
944	3888	226
945	3893	222
946	3895	217
947	3896	213
948	3897	209
949	3898	205
950	3900	200
951	3901	196
952	3902	192
953	3903	188
954	3905	184
955	3906	179
956	3907	175
957	3909	171
958	3910	167
959	3911	162
960	3913	158
961	3915	154
962	3916	150
963	3918	146
964	3919	142
965	3922	138
966	3923	133
967	3925	129
968	3926	125
969	3927	121
970	3929	117
971	3930	113
972	3931	109
973	3933	104
974	3934	100
975	3936	96
976	3938	92
977	3939	88
978	3941	84
979	3943	80
980	3944	76
981	3945	72
982	3947	68
983	3948	64
984	3949	60
985	3951	56
986	3952	52
987	3953	48
988	3955	43
989	3956	39
990	3958	35
991	3960	31
992	3961	27
993	3963	23
994	3964	19
995	3965	15
996	3967	11
997	3968	7
998	3969	3
999	3970	0
